marcSampleID	Sample_id	Block	Sample_name	AMF	Rhizobia	Species_name	Replicate	Pot	Person_harvest	Protocol	Type_sample	p1193R_bc	p799F_bc
Sample38	38	Block5	Pea_3	AMF	Rhizo	Pea	3	Grey	Nina	new	Root	R46	F70
Sample38mix	38	Block5	Pea_3_Lo	AMF	Rhizo	Pea	3	Grey	Nina	new	Left_over	R42	F62
Sample41	41	Block4	Pea_4	AMF	Rhizo	Pea	4	Grey	Natacha	new	Root	R41	F66
Sample41lo	41	Block4	Pea_4_Lo	AMF	Rhizo	Pea	4	Grey	Natacha	new	Left_over	R40	F60
Sample82	82	Block9	Pea_5	AMF	Rhizo	Pea	5	Grey	Nina	new	Root	R46	F60
Sample82lo	82	Block9	Pea_5_Lo	AMF	Rhizo	Pea	5	Grey	Nina	new	Left_over	R45	F65
Sample73	73	Block8	Pea_6	AMF	Rhizo	Pea	6	Grey	Natacha	new	Root	R46	F68
Sample22	22	Block2	Petunia_1	AMF	nonRhizo	Petunia	1	Brown	Nina	Petunia	Root	R40	F66
Sample11	11	Block1	Petunia_2	AMF	nonRhizo	Petunia	2	Brown	Natacha	Petunia	Root	R41	F63
Sample32	32	Block4	Petunia_3	AMF	nonRhizo	Petunia	3	Brown	Nina	Petunia	Root	R42	F63
Sample61	61	Block6	Petunia_4	AMF	nonRhizo	Petunia	4	Brown	Natacha	Petunia	Root	R40	F69
Sample69	69	Block7	Petunia_5	AMF	nonRhizo	Petunia	5	Brown	Nina	Petunia	Root	R44	F71
Sample83	83	Block9	Petunia_6	AMF	nonRhizo	Petunia	6	Brown	Natacha	Petunia	Root	R48	F63
Sample3	3	Block1	Spinach_1	nonAMF	nonRhizo	Spinach	1	Brown	Nina	Arabidopsis	Root	R42	F68
Sample56	56	Block6	Spinach_2	nonAMF	nonRhizo	Spinach	2	Brown	Nina	Arabidopsis	Root	R46	F71
Sample88	88	Block9	Spinach_3	nonAMF	nonRhizo	Spinach	3	Brown	Nina	Arabidopsis	Root	R46	F65
Sample29	29	Block3	Spinach_4	nonAMF	nonRhizo	Spinach	4	Brown	Natacha	Arabidopsis	Root	R42	F64
Sample4	4	Block1	Sugarbeet_1	nonAMF	nonRhizo	Sugarbeet	1	Brown	Nina	Arabidopsis	Root	R48	F61
