marcSampleID	Sample_id	Block	Sample_name	AMF	Rhizobia	Species_name	Replicate	Pot	Person_harvest	Protocol	Type_sample	pITS2_bc	pITS1f_bc
Sample38	38	Block5	Pea_3	AMF	Rhizo	Pea	3	Grey	Nina	new	Root	R17	F49
Sample38mix	38	Block5	Pea_3_Lo	AMF	Rhizo	Pea	3	Grey	Nina	new	Left_over	R9	F49
Sample41	41	Block4	Pea_4	AMF	Rhizo	Pea	4	Grey	Natacha	new	Root	R13	F48
Sample41lo	41	Block4	Pea_4_Lo	AMF	Rhizo	Pea	4	Grey	Natacha	new	Left_over	R7	F47
Sample82	82	Block9	Pea_5	AMF	Rhizo	Pea	5	Grey	Nina	new	Root	R7	F53
Sample82lo	82	Block9	Pea_5_Lo	AMF	Rhizo	Pea	5	Grey	Nina	new	Left_over	R12	F52
Sample73	73	Block8	Pea_6	AMF	Rhizo	Pea	6	Grey	Natacha	new	Root	R15	F49
Sample22	22	Block2	Petunia_1	AMF	nonRhizo	Petunia	1	Brown	Nina	Petunia	Root	R13	F47
Sample11	11	Block1	Petunia_2	AMF	nonRhizo	Petunia	2	Brown	Natacha	Petunia	Root	R10	F48
Sample32	32	Block4	Petunia_3	AMF	nonRhizo	Petunia	3	Brown	Nina	Petunia	Root	R10	F49
Sample61	61	Block6	Petunia_4	AMF	nonRhizo	Petunia	4	Brown	Natacha	Petunia	Root	R8	F55
Sample69	69	Block7	Petunia_5	AMF	nonRhizo	Petunia	5	Brown	Nina	Petunia	Root	R18	F47
Sample83	83	Block9	Petunia_6	AMF	nonRhizo	Petunia	6	Brown	Natacha	Petunia	Root	R18	F51
Sample3	3	Block1	Spinach_1	nonAMF	nonRhizo	Spinach	1	Brown	Nina	Arabidopsis	Root	R7	F56
Sample56	56	Block6	Spinach_2	nonAMF	nonRhizo	Spinach	2	Brown	Nina	Arabidopsis	Root	R18	F49
Sample88	88	Block9	Spinach_3	nonAMF	nonRhizo	Spinach	3	Brown	Nina	Arabidopsis	Root	R12	F53
Sample29	29	Block3	Spinach_4	nonAMF	nonRhizo	Spinach	4	Brown	Natacha	Arabidopsis	Root	R11	F49
Sample4	4	Block1	Sugarbeet_1	nonAMF	nonRhizo	Sugarbeet	1	Brown	Nina	Arabidopsis	Root	R16	F51
Sample15	15	Block2	Sugarbeet_2	nonAMF	nonRhizo	Sugarbeet	2	Brown	Natacha	Arabidopsis	Root	R14	F51
Sample45	45	Block5	Sugarbeet_3	nonAMF	nonRhizo	Sugarbeet	3	Brown	Nina	Arabidopsis	Root	R16	F52
Sample59	59	Block6	Sugarbeet_4	nonAMF	nonRhizo	Sugarbeet	4	Brown	Natacha	Arabidopsis	Root	R17	F48
Sample80	80	Block8	Sugarbeet_5	nonAMF	nonRhizo	Sugarbeet	5	Brown	Nina	Arabidopsis	Root	R8	F47
Sample86	86	Block9	Sugarbeet_6	nonAMF	nonRhizo	Sugarbeet	6	Brown	Natacha	Arabidopsis	Root	R9	F48
Sample24	24	Block3	Tobacco_1	AMF	nonRhizo	Tobacco	1	Grey	Nina	Petunia	Root	R10	F52
Sample2	2	Block1	Tobacco_2	AMF	nonRhizo	Tobacco	2	Grey	Natacha	Petunia	Root	R11	F55
Sample33	33	Block4	Tobacco_3	AMF	nonRhizo	Tobacco	3	Grey	Nina	Petunia	Root	R9	F47
Sample39	39	Block4	Tobacco_4	AMF	nonRhizo	Tobacco	4	Grey	Natacha	Petunia	Root	R7	F51
Sample68	68	Block7	Tobacco_5	AMF	nonRhizo	Tobacco	5	Grey	Nina	Petunia	Root	R9	F52
Sample91	91	Block9	Tobacco_6	AMF	nonRhizo	Tobacco	6	Grey	Natacha	Petunia	Root	R12	F48
Sample25	25	Block3	Tomato_1	AMF	nonRhizo	Tomato	1	Grey	Nina	Petunia	Root	R11	F47
Sample27	27	Block3	Tomato_2	AMF	nonRhizo	Tomato	2	Grey	Natacha	Petunia	Root	R16	F48
Sample44	44	Block5	Tomato_3	AMF	nonRhizo	Tomato	3	Grey	Nina	Petunia	Root	R17	F53
Sample37	37	Block4	Tomato_4	AMF	nonRhizo	Tomato	4	Grey	Natacha	Petunia	Root	R8	F54
Sample77	77	Block8	Tomato_5	AMF	nonRhizo	Tomato	5	Grey	Nina	Petunia	Root	R9	F54
Sample76	76	Block8	Tomato_6	AMF	nonRhizo	Tomato	6	Grey	Natacha	Petunia	Root	R15	F48
Sample30	30	Block3	Trifolium_1	AMF	Rhizo	Trifolium	1	Brown	Nina	new	Root	R12	F56
Sample30lo	30	Block3	Trifolium_1_Lo	AMF	Rhizo	Trifolium	1	Brown	Nina	new	Left_over	R13	F53
Sample51	51	Block6	Trifolium_2	AMF	Rhizo	Trifolium	2	Brown	Nina	new	Root	R9	F51
Sample64	64	Block7	Trifolium_3	AMF	Rhizo	Trifolium	3	Grey	Natacha	Petunia	Root	R10	F50
Sample64lo	64	Block7	Trifolium_3_Lo	AMF	Rhizo	Trifolium	3	Brown	Nina	new	Left_over	R17	F47
Sample49	49	Block5	Trifolium_4	AMF	Rhizo	Trifolium	4	Brown	Natacha	new	Root	R8	F51
Sample49lo	49	Block4	Trifolium_4_Lo	AMF	Rhizo	Trifolium	4	Grey	Natacha	Petunia	Left_over	R18	F53
Sample65	65	Block7	Trifolium_5	AMF	Rhizo	Trifolium	5	Brown	Natacha	new	Root	R7	F50
Sample65lo	65	Block7	Trifolium_5_Lo	AMF	Rhizo	Trifolium	5	Brown	Natacha	new	Left_over	R11	F51
Sample1	1	Block1	Wheat_1	AMF	nonRhizo	Wheat	1	Grey	Nina	Petunia	Root	R12	F47
Sample21	21	Block3	Wheat_2	AMF	nonRhizo	Wheat	2	Grey	Natacha	Petunia	Root	R8	F53
Sample40	40	Block5	Wheat_3	AMF	nonRhizo	Wheat	3	Grey	Nina	Petunia	Root	R11	F56
Sample60	60	Block6	Wheat_4	AMF	nonRhizo	Wheat	4	Grey	Natacha	Petunia	Root	R16	F47
Sample74	74	Block8	Wheat_5	AMF	nonRhizo	Wheat	5	Grey	Nina	Petunia	Root	R13	F55
Sample67	67	Block7	Wheat_6	AMF	nonRhizo	Wheat	6	Grey	Natacha	Petunia	Root	R9	F50
